Desert Population Tested	Song Type Played	Distance to Speaker Before Trial	Distance to Speaker After Trial	Attacks on Speaker Before Trial	Attacks on Speaker After Trial	Songs Sung Before Trial	Songs Sung After Trial	Aggression Index Before Trial	Aggression Index After Trial
Sonoran Desert	Other Desert	8	4	1	9	0	1	0.988596495	2.588436521
Sonoran Desert	Other Desert	24	24	0	0	0	0	-1.084752945	-1.07456491
Sonoran Desert	Other Desert	24	2	0	4	0	39	-1.044000806	2.960004019
Sonoran Desert	Other Desert	24	24	0	0	0	0	-1.101733003	-1.101733003
Sonoran Desert	Other Desert	24	24	0	0	0	0	-1.101733003	-1.101733003
Sonoran Desert	Other Desert	24	24	0	0	0	0	-1.060980864	-1.013436703
Sonoran Desert	Other Desert	24	24	0	0	0	1	-1.07456491	-0.161511133
Sonoran Desert	Other Desert	24	8	0	2	0	28	-1.084752945	1.698333217
Sonoran Desert	Other Desert	24	24	0	0	0	0	-1.091544968	-1.07456491
Sonoran Desert	Other Desert	24	8	0	2	0	28	-1.037208783	2.495935148
Sonoran Desert	Other Desert	24	24	0	0	0	0	-1.07456491	-1.03041676
Sonoran Desert	Other Desert	24	24	0	0	0	12	-1.05079283	-0.405701189
Sonoran Desert	Other Desert	24	24	0	0	13	0	0.398680219	-0.263378933
Sonoran Desert	Other Desert	24	24	0	0	0	0	-1.101733003	-1.044000806
Sonoran Desert	Other Desert	24	24	0	0	8	6	0.144042083	0.042186829
Sonoran Desert	Other Desert	24	24	0	0	0	0	-1.044000806	-1.037208783
Sonoran Desert	Other Desert	24	24	0	0	0	0	-1.101733003	-1.09494098
Sonoran Desert	Other Desert	16	24	0	0	3	0	0.425466947	-1.101733003
Sonoran Desert	Other Desert	24	24	0	0	0	0	-1.101733003	-1.071168899
Sonoran Desert	Other Desert	24	24	0	0	0	0	-1.020228726	-0.999852656
Sonoran Desert	Other Desert	24	24	0	0	0	0	-1.060980864	-1.057584853
Sonoran Desert	Other Desert	24	24	0	0	0	0	-1.044000806	-1.060980864
Sonoran Desert	Other Desert	24	16	0	3	0	5	-1.098336991	1.009138294
Sonoran Desert	Other Desert	24	24	0	1	16	10	-0.286890969	-0.432983372
Sonoran Desert	Other Desert	24	24	0	0	0	21	-1.098336991	-0.066212949
Sonoran Desert	Other Desert	24	24	0	0	0	0	-1.101733003	-1.098336991
Sonoran Desert	Other Desert	24	24	0	0	0	0	-1.013436703	-1.016832714
Sonoran Desert	Other Desert	24	24	0	0	3	23	-0.110596052	0.907956489
Sonoran Desert	Other Desert	24	24	0	0	0	0	-0.192062691	-0.236210841
Sonoran Desert	Other Desert	24	24	0	0	3	0	-0.925178041	-1.077960922
Sonoran Desert	Other Desert	24	24	0	0	2	1	-0.161523679	-0.212451306
Sonoran Desert	Other Desert	16	16	0	0	14	5	0.13373273	-0.300843833
Sonoran Desert	Other Desert	24	24	0	0	0	0	-1.101733003	-1.081356933
Sonoran Desert	Other Desert	24	24	0	0	0	0	-1.088148957	-1.077960922
Sonoran Desert	Other Desert	24	24	0	0	0	0	-1.071168899	-1.09494098
Sonoran Desert	Other Desert	24	24	0	0	0	0	-1.101733003	-1.101733003
Sonoran Desert	Other Desert	24	24	0	0	0	0	-1.101733003	-1.101733003
Sonoran Desert	Other Desert	24	16	0	0	0	8	-1.101733003	0.663125025
Sonoran Desert	Other Desert	24	24	0	0	0	0	-1.101733003	-1.101733003
Sonoran Desert	Other Desert	24	24	0	0	2	0	-1.00327376	-1.09494098
Sonoran Desert	Other Desert	24	8	0	6	0	21	-1.101733003	1.945773153
Sonoran Desert	Other Desert	24	24	0	0	0	0	-1.101733003	-0.25658691
Sonoran Desert	Other Desert	24	24	0	0	0	0	-1.101733003	-1.101733003
Sonoran Desert	Other Desert	24	24	0	0	0	0	-1.091544968	-1.081356933
Sonoran Desert	Other Desert	24	24	0	0	0	0	-1.101733003	-1.101733003
Sonoran Desert	Other Desert	24	24	0	0	0	0	-1.098336991	-1.098336991
Sonoran Desert	Other Desert	24	24	0	0	0	0	-1.101733003	-1.084752945
Sonoran Desert	Other Desert	24	24	0	0	0	0	-1.101733003	-1.057584853
Sonoran Desert	Other Desert	24	24	0	0	0	0	-1.098336991	-1.098336991
Sonoran Desert	Other Desert	24	24	0	0	0	0	-1.101733003	-1.071168899
Sonoran Desert	Other Desert	24	24	0	0	10	23	-0.623020836	0.001682189
Sonoran Desert	Other Desert	24	24	0	0	0	0	-1.101733003	-1.101733003
Sonoran Desert	Other Desert	24	24	0	0	0	0	-1.088148957	-1.101733003
Sonoran Desert	Other Desert	24	16	0	1	0	16	-1.09494098	0.401853367
Sonoran Desert	Other Desert	24	16	0	0	0	24	-1.09494098	0.585276804
Sonoran Desert	Other Desert	24	24	0	0	0	0	-1.101733003	-1.033812772
Sonoran Desert	Other Desert	24	24	0	0	0	0	-1.07456491	-1.064376876
Sonoran Desert	Other Desert	24	2	0	8	0	3	-1.101733003	2.657193139
